詩人,性別,唐詩紀事卷,birth-death,,,Geography,背景,當官年代,,
 188. 林寬: 32 首,male,x,~873,,,侯官（今福建闽侯）,,,与许棠、李频、黄滔等诗人交游密切，尤与黄滔相知数十年,
 189. 馮延巳: 32 首,male,x,903-960,,,唐朝--江南道--歙州--祁門(Qimen)/遼朝--西京道--蔚州--廣陵(Guangling),工於文、宰相,,,
 190. 尚顏: 32 首,male,77,~881,,,,詩人、僧人,,薛茂聖,
 191. 李適: 31 首,male,9,663-711,,,唐朝--關內道--京兆--萬年(Wannian),詩人,707-711,,
 192. 王涯: 31 首,male,42,763-835,,,唐朝--河東道--太原--太原(Taiyuan),詩人、文人、工於文,804-824,,
 193. 雍裕之: 30 首,male,52,~813,,,唐朝--劍南道--成都--成都(Chengdu)/蜀(Shu),詩人、文人,,,
 194. 崔櫓: 30 首,male,58,?-?,,,遼朝--東京道--荊州(Jing Zhou),,,诗作多聚焦羁旅之思、季节变迁与历史遗存,
 195. 翁承贊: 30 首,male,63,859-932,,,唐朝--江南道--福州--福唐(Futang),詩人、文人,713-?,,
 196. 張泌: 30 首,male,x,?-?,~777,,,詩人,,花間派,
 197. 孟貫: 30 首,male,x,?-?,~957,,唐朝--江南道--建州--建安(Jian'an),詩人,,與伍喬、江為為詩友,
 198. 張仲素: 29 首,male,42,769-819,,,唐朝--河南道--徐州--符離(Fuli),詩人、文人,801-819,,
 199. 裴迪: 29 首,male,16,760-?,,,唐朝--關內道--關中;秦中(Guanzhong; Qinzhong),詩人,,,
 200. 顏真卿: 29 首,male,24,709-784,,,唐朝--關內道--京兆--長安(Chang'an),工於文,736-782,,
 201. 熊孺登: 29 首,male,43,768-?,,,唐朝--江南道--洪州(Hong Zhou),詩人、文人,813-?,与诗人戴叔伦、权德舆等游处、与白居易、刘禹锡等诗人友善，经常有赠答应酬之作,
 202. 李百藥: 28 首,male,4,565-648,,,唐朝--河北道--深州--安平(Anping),詩人、文人、工於文,581-636,,
 203. 盧肇: 28 首,male ,55,818-882,,,唐朝--江南道--袁州--宜春(Yichun),書法家、詩人、工於文,,,
 204. 鄭巢: 28 首,male ,x,?-?,,,唐朝--江南道--杭州--錢塘(Qiantang),詩人、文人,,終身未仕,
 205. 來鵠: 28 首,male ,56,?-883,,,豫章（今江西南昌市）,,,晚唐颇有名气的文学家,
 206. 蘇拯: 28 首,male ,x,?-?,,,,詩人、文人,,晚唐诗人,
 207. 杜光庭: 28 首,male ,x,850-933,,,唐朝--嶺南道--恩州--杜陵(Duling),書法家、詩人、工於文,,道教,
 208. 裴度: 27 首,male ,33,765-839,,,唐朝--河東道--絳州--聞喜(Wenxi),工於文,765-837,,
 209. 劉方平: 27 首,male ,28,710?-?,,,唐朝--河北道--河南--河南(He'nan),詩人,,軍幕,
 210. 許敬宗: 27 首,male ,4,592-672,,,杭州新城縣（今浙江杭州市富陽區）,,,唐朝官員，官至中書令（宰相）,
 211. 殷文圭: 27 首,male ,x,?-920,,,唐朝--江南道--池州--秋浦(Qiupu)/唐朝--江南道--池州--青陽(Qingyang),詩人、文人、工於文、為官者：文,,,
 212. 修睦: 27 首,male ,76,?-918,,,,,,僧、晚唐,与贯休、齐己、虚中、处默等为诗友
 213. 朱放: 26 首,male ,26,?-788,,,唐朝--山南道--襄州--襄陽(Xiangyang),詩人、文人,782-786,,
 214. 劉憲: 26 首,male ,9,?-711,,,唐朝--河南道--宋州--寧陵(Ningling),工於文,691-710,,
 215. 竇常: 26 首,male ,31,747-825,,,唐朝--關內道--延州--金城(Jincheng),詩人、文人,798-814,,
 216. 張南史: 26 首,male ,41,?-?,,,唐朝--河北道--幽州(You Zhou),詩人、文人,756-?,,
 217. 劉叉: 26 首,male ,x,?-?,,,,,,唐宪宗元和年间、其诗风以险怪著称,
 218. 劉威: 26 首,male ,56,?-?,,,,詩人,,詩風柔弱，常常流露出悲傷的情緒。,
 219. 盧象: 25 首,male ,26,?-?,?-763,,,詩人、文人、工於文,742-759,,
 220. 綦毋潛: 25 首,male ,20,692?-755?,692?-749?,,唐朝--江南道--虔州--南康(Nankang),詩人、文人、工於文,727-741,,
 221. 沈亞之: 25 首,male ,51,?-831,,,唐朝--江南道--湖州(Hu Zhou),詩人、文人、工於文,824-831,,
 222. 章碣: 25 首,male ,61,?-?,,,桐廬（今屬浙江）人,詩人、文人,,,
 223. 歐陽炯: 25 首,male,x,896-971,,,唐朝--劍南道--成都--華陽(Huayang),	poet詩人,?-962,,
 224. 鄭愔: 24 首,male,11,?-710,,,,詩人,,,
 225. 子蘭: 24 首,male,72,,,,,僧,齐州（今济南）大灵岩寺出家、与诗人张乔有交往,,
 226. 韓琮: 24 首,male,,?-?,,,,,858-867,,
 227. 周樸: 24 首,male,,?-878,,,福州長樂縣人,,,,
 228. 和凝: 23 首,male,,898-955,,,唐朝--河南道--汴州--開封(Kaifeng)/ 唐朝--河南道--鄆州--須昌(Xuchang),工於文、宰相,,,
 229. 竇群: 23 首,male,,763-814,,,,,,隱居,
 230. 於鄴: 23 首,male,,~867,,,杜曲（今陕西西安）人,,,与于武陵是否为同一人存在争议,
 231. 朱灣: 22 首,male,,?-?,,,西蜀人,詩人、文人、工於文,773-,,
 232. 喬知之: 21 首,male,,?-690,,,,詩人,686-697,,
 233. 孫魴: 21 首,male,,~940,,,唐朝--江南道--台州--樂安(Le'an)/唐朝--江南道--洪州--南昌(Nanchang),,,,
 234. 趙彥昭: 21 首,male,,?-714,,,,宰相,,,
 235. 竇牟: 21 首,male,,?-822,749-822,,,詩人、文人,789-810,,
 236. 周繇: 21 首,male,,814-912,,,唐朝--江南道--池州--青陽(Qingyang),詩人、文人,859-,,
 237. 周朴: 21 首,male,,?-879,,,唐朝--江南道--湖州(Hu Zhou)/唐朝--江南道--睦州--桐廬(Tonglu),詩人、文人,,,
 238. 伍喬: 21 首,male,,?-?,,,唐朝--淮南道--廬州--廬江(Lujiang),詩人、文人,,,
 239. 清江: 21 首,male,,?-?,,,唐朝--江南道--越州--會稽(Kuaiji),詩人、僧,,與僧皎然為友,
 240. 毛文錫: 21 首,male,,?-?,,,唐朝--河北道--瀛州--高陽(Gaoyang),詩人,,,
 241. 孟雲卿: 20 首,male,,725?-?,725-781,,唐朝--河北道--河南--河南(He'nan)/唐朝--江南道--鄂州--武昌(Wuchang)/唐朝--關內道--關西(Guanxi),詩人、文人,,孟云卿与杜甫友谊笃厚,
 242. 長孫佐輔: 20 首,male,,?-?,~794,,唐朝--關內道--夏州--朔方(Shuofang),詩人、文人,,,
 243. 賀知章: 20 首,male,,659-744,,,唐朝--江南道--越州--山陰(Shanyin)/唐朝--江南道--越州--永興(Yongxing),書法家、詩人、工於文、為官者:文、隱居道士,723-738,酒中八仙、在讀了李白作品《蜀道難》、《烏棲曲》等詩後，感嘆地說道：「子，謫仙人也。,
 244. 楊淩: 20 首,male,,?-?,,,,,,与韦应物有交往唱酬之作,
 245. 楊師道: 20 首,male,,?-647,,,唐朝--關內道--華州--華陰(Huayin),書法家、詩人、工於文、武官、宰相,617-639,,
 246. 竇庠: 20 首,male,,766-828,,,唐朝--關內道--延州--金城(Jincheng),詩人、文人,805-827,,
 247. 陸希聲: 20 首,male,,?-895,,,唐朝--江南道--蘇州--吳縣(Wu Xian),書法家、畫家、詩人、工於文、宰相,874-895,,
 248. 皇甫松: 19 首,male,,?-?,,,唐朝--河北道--河南--新安(Xin'an),詩人,,,
 249. 許彬: 19 首,male,,?-?,~873,,睦州人,,,,
 250. 成彥雄: 19 首,male,,?-?,~960,,,,,南唐進士,
 251. 上官儀: 18 首,male,,607-664,608-665,,唐朝--河南道--陝州--陜縣(Shan Xian),書法家、詩人、工於文、宰相,649-662,曾為和尚，精研佛典，兼涉經史，善寫文章。,
 252. 董思恭: 18 首,male,,?-?,,,唐朝--河北道--幽州--范陽(Fanyang)/唐朝--江南道--蘇州--吳縣(Wu Xian),poet詩人,666-667,,
 253. 沈彬: 18 首,male,,864?-961,853-957,,唐朝--江南道--洪州--高安(Gao'an),詩人、文人、工於文,864-961,,
 254. 蕭穎士: 18 首,male,,709-760,707-758,717-768,唐朝--江南道--潤州--丹徒(Dantu)/唐朝--河南道--穎州--汝陰(Ruyin),工於文、為官者:文,749-756,,
 255. 包何: 18 首,male,,773-809,,,唐朝--江南道--潤州--延陵(Yanling),詩人、文人,,,
 256. 楊憑: 18 首,male,,?-820,?-817,,虢州弘农县（今河南省灵宝市）人，后徙居吴地（今江苏）,詩人、工於文、為官者:文,802-809,女婿是柳宗元、與楊凝是親兄弟,
 257. 于鵠: 18 首,male,,?-814,747-821,,,詩人、文人,,與張籍友好,
 258. 孟遲: 18 首,male,,?-?,~859,,唐朝--河北道--德州--平昌(Pingchang),詩人、文人,854-?,與杜牧友好,
 259. 任翻: 18 首,male,,?-846,,,江南,詩人,,,
 260. 李九齡: 18 首,male,,?-?,,,唐朝--河北道--河南--洛陽(Luoyang),,,唐末,
 261. 胡宿: 18 首,male,,995-1067,996-1067,,宋朝--兩浙西路--常州--武進(Wujin)/宋朝--兩浙西路--常州--晉陵(Jinling)/唐朝--江南道--常州--晉陵(Jinling),詩人、宰執,1066-?,,
 262. 李冶: 18 首,female,,742-784,,,烏程人(今浙江湖州),,,,
 263. 陶翰: 17 首,male,,?-?,,,唐朝--江南道--潤州--丹徒(Dantu)/唐朝--江南道--潤州--丹陽(Danyang),詩人、文人、為官者:文,,宦官之家出身,
264. 張子容: 17 首,male,,?-?,,,唐朝--山南道--襄州--襄陽(Xiangyang),詩人、文人,727-,與孟浩然友好，同隱鹿門山,
 265. 王轂: 17 首,male,,?-?,,,唐朝--江南道--袁州--宜春(Yichun),詩人、文人,,,
 266. 郭震: 17 首,male,,656-713,,,唐朝--河北道--魏州--貴鄉(Guixiang),,,,
 267. 張又新: 17 首,male,,?-?,,,唐朝--河北道--深州--陸澤(Luze),詩人、文人、工於文、為官者:文,826-838,,
 268. 王初: 17 首,male,,?-?,,,并州（今山西太原）,,,题材以咏物、送别及隐逸为主,
 269. 喻坦之: 17 首,male,,?-?,,,睦州（今属浙江）,,,咸通十哲、晚唐詩人,
 270. 顧夐: 17 首,male,,?-?,,,,詩人,,前蜀Former Shu (10 states),
 271. 法振: 17 首,male,73,,,,唐代荆州（今属湖北）,詩人、僧,,诗作多描绘山水景致与隐逸生活，风格清寂恬淡,
 272. 劉昚虛: 16 首,male,25,714-767,,,洪州新吴（今江西奉新县）,,,与孟浩然、王昌龄等诗人相友善，互唱和|南朝永明年间以来江南一带杰出诗人,
 273. 崔融1: 16 首,male,,653-706,,,唐朝--河南道--齊州--全節(Quanjie),詩人、工於文、為官者:文,,,
 274. 趙冬曦: 16 首,male,,677-750,,,唐朝--河北道--定州--鼓城(Gucheng)/唐朝--河南道--徐州--彭城(Pengcheng),詩人、工於文、為官者:文,713-?,,
 275. 梁鍠: 16 首,male,,?-?,,,,詩人,742-,活跃于唐玄宗天宝初年,
 276. 劉複: 16 首,male,,?-?,,,,,,贞元五年在徐州活动,
 277. 靈澈: 16 首,male,,746-816,749-816,,唐朝--江南道--越州--會稽(Kuaiji),,,僧（云门寺律僧）、与刘禹锡、刘长卿、吕温等文士多有唱和，诗作以山水禅境为主题、与皎然、道标并称诗坛三杰,
 278. 棲白: 16 首,male,,,,,,,,晚唐诗坛重要诗人、与日本留学僧的诗歌往来中、栖白曾与皮日休、陆龟蒙等诗人共同为日僧圆仁、圆载、圆珍等人撰写饯行诗作 [1-2]，这些诗歌成为中日文化交流的重要见证、既是佛教界人士又活跃于世俗文坛，其创作活动反映了唐代佛教与文学交融的特殊现象,
 279. 徐氏: 15 首,female?,,,,,,,,,
 280. 武平一: 15 首,male,,,,,唐朝--河東道--太原--文水(Wenshui),poet詩人、civil office[為官者：文],,,
 281. 牛嶠: 15 首,male,,,,,唐朝--關內道--涇州--靈臺(Lingtai),poet詩人、man of culture文人、civil office[為官者：文],,,
 282. 張碧: 15 首,male,,?-816,,,唐朝--河南道--徐州--符離(Fuli),poet詩人、man of culture文人,,,
 283. 朱景玄: 15 首,male,,,,,唐朝--江南道--蘇州--吳縣(Wu Xian),poet詩人、skilled at writing工於文,,,
 284. 鄭畋: 15 首,male,,825-883,,,唐朝--河北道--鄭州--榮陽(Rongyang),skilled at writing工於文,819-883,,
 285. 張賁: 15 首,male,,,,,唐朝--山南道--鄧州--南陽(Nanyang),poet詩人,,,
 286. 褚載: 15 首,male,,,,,,poet詩人、man of culture文人,,,
 287. 李珣: 15 首,male,,,,,,,,太多同名同姓，不知道是哪個,
 288. 蔣吉: 15 首,male,,,,,,poet詩人,,,
 289. 廣宣: 15 首,male,,,,,交州(Jiaozhou (Northern Vietnam)),poet詩人、僧,,,
 290. 虛中: 15 首,male,,,,,唐朝--江南道--袁州--宜春(Yichun),poet詩人、僧,,,
 291. 薛稷: 14 首,male,,649-713,,,唐朝--河東道--蒲州--寶鼎(Baoding),calligrapher書法家、painter畫家、poet詩人、skilled at writing工於文、 office: chief councilor[宰相],684-710,,
 292. 李華: 14 首,male,,,,,,poet詩人、man of culture文人,,有三個，不確定是哪個,
 293. 翁綬: 14 首,male,,,,,,,,,
 294. 王翰: 14 首,male,,,,,唐朝--河東道--太原--晉陽(Jinyang),skilled at writing工於文,726-?,,
 295. 蘇味道: 14 首,male,,648-705,,,唐朝--河北道--趙州--欒城(Luancheng)/唐朝--劍南道--眉州--通義(Tongyi),poet詩人、office: chief councilor[宰相],694-705,,
 296. 崔曙: 14 首,male,,?-739,,,河北道--定州--博陵(Boling),poet詩人,,,
 297. 暢當: 14 首,male,,,,,唐朝--河東道--蒲州--河東(Hedong),poet詩人、man of culture文人,778-786,,
 298. 王仁裕: 14 首,male,,880-956,,,唐朝--隴右道--秦州--上邽(Shanggui),poet詩人,810-?,,
 299. 劉昭禹: 14 首,male,,,,,唐朝--江南道--婺州(Wu Zhou)、唐朝--江南道--連州--桂陽(Guiyang),poet詩人,,,
 300. 鄭遨: 14 首,male,,866-939,,,滑州白马（今河南滑县）人,poet詩人、道士,,晚唐五代诗人,
 301. 崔日用: 13 首,male,10,673-722,,,唐朝--河南道--滑州--靈昌(Lingchang),poet詩人,710-722,,
 302. 閻朝隱: 13 首,male,11,?-712,,,唐朝--河北道--趙州--欒城(Luancheng),poet詩人,699-713?,,
 303. 盧僎: 13 首,,x,,,,,,,,
 304. 丘為: 13 首,male,17,703-798,,,唐朝--江南道--蘇州--嘉興(Jiaxing),poet詩人,?-?,,
 305. 薛據: 13 首,male,25,701-767,,,唐朝--河東道--蒲州--寶鼎(Baoding)/唐朝--山南道--江陵(Jiangling),poet詩人,752-759,,
 306. 王季友1: 13 首,male,26,?-?,,,	唐朝--河北道--河南--河南(He'nan),"poet詩人,man of culture文人",?-?,,
 307. 李紓: 13 首,male,26,731-792,,,唐朝--關內道--京兆--長安(Chang'an)/唐朝--河北道--趙州(Zhao Zhou),"skilled at writing工於文,civil office[為官者：文]",756-790,,
 308. 翁洮: 13 首,male,x,?-?,,,唐朝--江南道--睦州(Mu Zhou),poet詩人,?-?,,
 309. 盧延讓: 13 首,male,65,?-?,,,唐朝--河北道--涿州--范陽(Fanyang),"poet詩人,man of culture文人",881-907,,
 310. 毛熙震: 13 首,male,x,?-?,,,,poet詩人,?-?,,
 311. 莊南傑: 12 首,male,x,?-?,,,唐朝--江南道--越州(Yue Zhou),"poet詩人,man of culture文人",?-?,,
 312. 丁仙芝: 12 首,male,24,?-?,,,唐朝--江南道--潤州--曲阿(Qu'e),"poet詩人,skilled at writing工於文",?-?,,
 313. 陳子良: 12 首,male,4,575 - 632,,,唐朝--江南道--蘇州--吳縣(Wu Xian),poet詩人,?-?,,
 314. 馬懷素: 12 首,male,10,659-718,,,唐朝--淮南道--揚州--江都(Jiangdu),"poet詩人,skilled at writing工於文,civil office[為官者：文]",703-717,,
 315. 柳中庸: 12 首,male,31,?-?,,,虞鄉(Yuxiang),poet詩人,?-?,,
 316. 丘丹: 12 首,male,47,?-?,,,唐朝--江南道--蘇州--嘉興(Jiaxing),poet詩人,758-?,,
 317. 薛存誠: 12 首,male,40,765-814,,,唐朝--河東道--蒲州--寶鼎(Baoding),,806-812,,
 318. 盧殷: 12 首,male,x,746-810,,,唐朝--河北道--涿州--范陽(Fanyang),poet詩人,806-?,,
 319. 韋處厚: 12 首,male,31,773-829,,,唐朝--關內道--京兆--萬年(Wannian),skilled at writing工於文,816-824,,
 320. 陳去疾: 12 首,male,x,?-?,,,唐朝--江南道--福州--侯官(Houguan),"poet詩人,skilled at writing工於文",838-844,,
 321. 陳標: 12 首,,60,,,,,,,,
 322. 楊發: 12 首,male,x,?-?,,,"天興(Tianxing),唐朝--關內道--同州--馮翊(Fengyi)","poet詩人,man of culture文人,skilled at writing工於文",,,
 323. 薛瑩: 12 首,male,59,?-756,,,,"poet詩人,man of culture文人",?-?,,
 324. 吳仁璧: 12 首,male,x,?-?,,,"唐朝--江南道--蘇州--吳縣(Wu Xian),唐朝--關內道--關西(Guanxi)",poet詩人,?-?,,
 325. 孔德紹: 12 首,male,x,?-621,,,唐朝--江南道--越州--會稽(Kuaiji),"poet詩人,skilled at writing工於文",617-617,,
 326. 棲蟾: 12 首,male,76,?-?,,,,僧、隱居,,,
 327. 尹鶚: 12 首,male,,?-?,,,,poet詩人,?-?,,
 328. 徐堅: 11 首,male,,659-729,,,"唐朝--關內道--京兆--長安(Chang'an),唐朝--江南道--湖州--長城(Changcheng)","poet詩人, civil office[為官者：文]",684-727,,
 329. 于濆: 11 首,male,,?-?,,,,skilled at writing工於文,?-?,,
 330. 鄭錫: 11 首,,,,,,,,,,
 331. 姚系: 11 首,,,,,,,,,,
 332. 張諤: 11 首,,,,,,,,,,
 333. 王灣: 11 首,male,,?-791,,,,"poet詩人,man of culture文人",?-?,,
 334. 徐安貞: 11 首,male,,?-?,,,唐朝--河北道--河南--新安(Xin'an),skilled at writing工於文,713-731,,
 335. 冷朝陽: 11 首,male,,?-?,,,唐朝--江南道--潤州--江寧(Jiangning),"poet詩人,man of culture文人",784-796,,
 336. 蔣防: 11 首,male,,?-?,,,唐朝--江南道--常州--義興(Yixing),skilled at writing工於文,813-828,,
 337. 水神: 11 首,,,,,,,,,,
 338. 熊皎: 11 首,,,,,,,,,,
 339. 左偃: 11 首,male,,?-?,,,,poet詩人,?-?,,
 340. 楊夔: 11 首,male,,?-?,,,,"poet詩人,skilled at writing工於文",?-?,,
 341. 護國: 11 首,male,,?-772,,,,poet詩人,?-?,,
 342. 袁暉: 10 首,male,,?-?,,,唐朝--關內道--京兆(Jingzhao),poet詩人,713-713,,
 343. 王睿: 10 首,,,,,,,,,,
 344. 李廓: 10 首,male,,?-?,,,唐朝--隴右道--秦州--成紀(Chengji),"poet詩人,man of culture文人",826-860,,
 345. 韋元旦: 10 首,male,,?-?,,,"唐朝--關內道--京兆--長安(Chang'an),唐朝--關內道--京兆--萬年(Wannian)","poet詩人,skilled at writing工於文,civil office[為官者：文]",685-708,,
 346. 李赤: 10 首,,,,,,,,,,
 347. 韋蟾: 10 首,male,,?-?,,,,"poet詩人,skilled at writing工於文",869-879,,
 348. 崔玨: 10 首,,,,,,,,,,
 349. 于鄴: 10 首,male,,?-?,,,	唐朝--關內道--京兆(Jingzhao),poet詩人,?-?,,
 350. 蔣貽恭: 10 首,male,,?-?,,,唐朝--淮南道--江淮(Jianghuai),poet詩人,?-?,,
 351. 萬楚: 9 首,male,,?-?,,,,"poet詩人,skilled at writing工於文",?-?,,
 352. 李義府: 9 首,male,4,614-666,,,唐朝--劍南道--梓州--永泰(Yongtai),poet詩人,618-663,,
 353. 陳叔達: 9 首,,,,,,,,,,
 354. 盧鴻一: 9 首,male,,?-?,,,唐朝--河北道--河南--洛陽(Luoyang),"calligrapher書法家,painter畫家,poet詩人,man of culture (wenren)文人,recluse[隱士]",?-717,,
